topology,algorithm,link sec ratio,num of calls,load,overflow(Î±),round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
NSFNET,    SF_STC,   0.000, 10000.000,  400.000,	nan,    1.000,   60.030,    0.000,  100.000,  100.000,    2.127,   16.205,    0.000,    0.000,    0.000,      nan,      nan,  100.000,  100.000,      nan,      nan
NSFNET,    SF_STC,   0.100, 10000.000,  400.000,	nan,    1.000,   57.950,    0.000,   96.814,   96.708,    2.229,   18.042,    0.000,    0.000,    0.000,    0.000,    0.000,   95.386,  100.000,    0.000,    0.000
NSFNET,    SF_STC,   0.200, 10000.000,  400.000,	nan,    1.000,   54.000,    0.000,   89.784,   88.659,    2.280,   20.339, 5780.000,    0.078,    0.091,    0.000,    0.000,   80.839,   94.189,    0.000,    0.000
NSFNET,    SF_STC,   0.300, 10000.000,  400.000,	nan,    1.000,   45.760,    0.000,   76.755,   76.155,    2.453,   24.274, 13700.000,    0.128,    0.173,    0.000,    0.000,   65.003,   87.814,    0.000,    0.000
NSFNET,    SF_STC,   0.400, 10000.000,  400.000,	nan,    1.000,   36.600,    0.000,   61.398,   60.743,    2.795,   33.056, 21340.000,    0.154,    0.243,    0.000,    0.000,   51.697,   81.797,    0.000,    0.000
NSFNET,    SF_STC,   0.500, 10000.000,  400.000,	nan,    1.000,   24.050,    0.000,   40.107,   40.033,    2.889,   41.578, 31810.000,    0.178,    0.338,    0.000,    0.000,   38.382,   72.915,    0.000,    0.000
NSFNET,    SF_STC,   0.600, 10000.000,  400.000,	nan,    1.000,    8.570,    0.000,   14.115,   14.405,    2.996,   50.185, 55330.000,    0.256,    0.587,    0.000,    0.000,   24.599,   56.368,    0.000,    0.000
NSFNET,    SF_STC,   0.700, 10000.000,  400.000,	nan,    1.000,    1.680,    0.000,    3.156,    2.422,    2.891,   54.849, 67950.000,    0.274,    0.681,    0.000,    0.000,   21.914,   54.463,    0.000,    0.000
NSFNET,    SF_STC,   0.800, 10000.000,  400.000,	nan,    1.000,    1.050,    0.000,    1.894,    1.590,    2.958,   55.360, 91050.000,    0.305,    0.760,    0.000,    0.000,   14.340,   35.723,    0.000,    0.000
NSFNET,    SF_STC,   0.900, 10000.000,  400.000,	nan,    1.000,    0.030,    0.000,    0.065,    0.034,    2.890,   53.717, 107490.000,    0.327,    0.825,    0.000,    0.000,    7.149,   18.052,    0.000,    0.000
NSFNET,    SF_STC,   1.000, 10000.000,  400.000,	nan,    1.000,    0.000,    0.000,    0.000,    0.000,    2.138,   40.001, 85170.000,    0.396,    1.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000

NSFNET,    SF,   0.000, 10000.000,  400.000,	nan,    1.000,   60.280,    0.000,  100.000,  100.000,    2.139,   16.104,    0.000,    0.000,    0.000,      nan,      nan,  100.000,  100.000,      nan,      nan
NSFNET,    SF,   0.100, 10000.000,  400.000,	nan,    1.000,   57.890,    0.000,   96.241,   96.082,    2.412,   18.757,    0.000,    0.000,    0.000,    0.000,    0.000,   94.514,  100.000,    0.000,    0.000
NSFNET,    SF,   0.200, 10000.000,  400.000,	nan,    1.000,   56.480,    0.000,   94.548,   94.411,    2.651,   22.660,    0.000,    0.000,    0.000,    0.000,    0.000,   92.417,  100.000,    0.000,    0.000
NSFNET,    SF,   0.300, 10000.000,  400.000,	nan,    1.000,   53.480,    0.000,   89.578,   90.209,    2.478,   21.377, 16880.000,    0.205,    0.236,    0.000,    0.000,   69.768,   80.118,    0.000,    0.000
NSFNET,    SF,   0.400, 10000.000,  400.000,	nan,    1.000,   49.930,    0.000,   82.768,   83.686,    2.860,   27.753, 13720.000,    0.125,    0.156,    0.000,    0.000,   71.218,   89.124,    0.000,    0.000
NSFNET,    SF,   0.500, 10000.000,  400.000,	nan,    1.000,   37.620,    0.000,   60.465,   60.816,    2.666,   32.326, 33840.000,    0.273,    0.448,    0.000,    0.000,   41.974,   68.976,    0.000,    0.000
NSFNET,    SF,   0.600, 10000.000,  400.000,	nan,    1.000,   25.730,    0.000,   42.805,   42.876,    2.709,   36.572, 58530.000,    0.326,    0.606,    0.000,    0.000,   32.039,   59.578,    0.000,    0.000
NSFNET,    SF,   0.700, 10000.000,  400.000,	nan,    1.000,   15.340,    0.000,   25.500,   26.544,    2.815,   46.035, 62190.000,    0.313,    0.646,    0.000,    0.000,   32.266,   66.512,    0.000,    0.000
NSFNET,    SF,   0.800, 10000.000,  400.000,	nan,    1.000,    5.910,    0.372,   10.315,    8.972,    3.121,   54.290, 85580.000,    0.318,    0.746,    0.000,    0.000,   24.523,   57.512,    0.000,    0.000
NSFNET,    SF,   0.900, 10000.000,  400.000,	nan,    1.000,    5.480,    0.377,    9.511,    8.203,    3.106,   53.692, 111290.000,    0.345,    0.822,    0.000,    0.000,   20.365,   48.524,    0.000,    0.000
NSFNET,    SF,   1.000, 10000.000,  400.000,	nan,    1.000,    0.000,    0.000,    0.000,    0.000,    2.150,   41.005, 86120.000,    0.402,    1.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000

NSFNET,    CF_STC,   0.000, 10000.000,  400.000,  0.5,    1.000,   29.120,    0.000,    0.000,  100.000,    2.126,   28.962,    0.000,    0.436,    0.000,    1.000,      nan,  100.000,  100.000,  100.000,      nan
NSFNET,    CF_STC,   0.100, 10000.000,  400.000,  0.5,    1.000,   29.120,    0.000,    0.000,   96.776,    2.915,   39.773,    0.000,    0.350,    0.000,    0.824,    0.000,   91.218,  100.000,   82.555,    0.000
NSFNET,    CF_STC,   0.200, 10000.000,  400.000,  0.5,    1.000,   26.800,    0.000,    0.000,   89.812,    3.265,   45.696, 5800.000,    0.284,    0.058,    0.623,    0.000,   75.091,   97.897,   51.632,    0.000
NSFNET,    CF_STC,   0.300, 10000.000,  400.000,  0.5,    1.000,   23.380,    0.000,    0.000,   77.752,    3.652,   55.428, 12100.000,    0.271,    0.123,    0.525,    0.000,   66.576,   95.658,   42.979,    0.000
NSFNET,    CF_STC,   0.400, 10000.000,  400.000,  0.5,    1.000,   19.300,    0.000,    0.000,   64.678,    3.691,   55.831, 17440.000,    0.219,    0.166,    0.365,    0.000,   56.396,   94.139,   26.718,    0.000
NSFNET,    CF_STC,   0.500, 10000.000,  400.000,  0.5,    1.000,   13.670,    0.000,    0.000,   44.513,    3.579,   61.441, 25200.000,    0.192,    0.245,    0.232,    0.000,   44.478,   87.998,   13.513,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,  0.5,    1.000,    4.140,    0.050,    0.000,   13.629,    3.639,   66.592, 50280.000,    0.213,    0.457,    0.069,    0.000,   33.905,   78.322,    3.789,    0.000
NSFNET,    CF_STC,   0.700, 10000.000,  400.000,  0.5,    1.000,    1.550,    0.000,    0.000,    5.179,    3.318,   63.068, 66870.000,    0.253,    0.609,    0.022,    0.000,   22.833,   55.819,    0.834,    0.000
NSFNET,    CF_STC,   0.800, 10000.000,  400.000,  0.5,    1.000,    0.010,    0.000,    0.000,    0.033,    3.080,   59.644, 80930.000,    0.291,    0.734,    0.000,    0.000,   20.692,   52.130,    0.032,    0.000
NSFNET,    CF_STC,   0.900, 10000.000,  400.000,  0.5,    1.000,    0.000,    0.000,    0.000,    0.000,    2.729,   52.717, 92400.000,    0.337,    0.841,    0.000,    0.000,   14.484,   36.183,    0.000,    0.000
NSFNET,    CF_STC,   1.000, 10000.000,  400.000,  0.5,    1.000,    0.000,    0.000,    0.000,    0.000,    2.128,   39.717, 88280.000,    0.414,    1.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000

NSFNET,    CF,   0.000, 10000.000,  400.000,  0.5,    1.000,   30.250,    0.000,    0.000,  100.000,    2.163,   29.923,    0.000,    0.432,    0.000,    1.000,      nan,  100.000,  100.000,  100.000,      nan
NSFNET,    CF,   0.100, 10000.000,  400.000,  0.5,    1.000,   29.730,    0.000,    0.000,   97.700,    2.723,   36.916,    0.000,    0.356,    0.000,    0.847,    0.000,   89.563,  100.000,   77.534,    0.000
NSFNET,    CF,   0.200, 10000.000,  400.000,  0.5,    1.000,   28.920,    0.000,    0.000,   94.479,    3.044,   41.442,  990.000,    0.313,    0.011,    0.729,    0.000,   82.148,   99.530,   63.883,    0.000
NSFNET,    CF,   0.300, 10000.000,  400.000,  0.5,    1.000,   26.220,    0.000,    0.000,   89.244,    3.297,   45.923,  210.000,    0.232,    0.002,    0.568,    0.000,   70.262,   99.930,   37.534,    0.000
NSFNET,    CF,   0.400, 10000.000,  400.000,  0.5,    1.000,   25.480,    0.000,    0.000,   84.148,    3.667,   50.693, 9740.000,    0.262,    0.107,    0.505,    0.000,   64.355,   95.086,   34.710,    0.000
NSFNET,    CF,   0.500, 10000.000,  400.000,  0.5,    1.000,   19.590,    0.000,    0.000,   65.584,    3.700,   54.048, 24200.000,    0.258,    0.268,    0.333,    0.000,   46.200,   83.280,   13.385,    0.000
NSFNET,    CF,   0.600, 10000.000,  400.000,  0.5,    1.000,    9.710,    0.000,    0.000,   32.540,    3.610,   61.690, 38990.000,    0.208,    0.359,    0.145,    0.000,   36.035,   77.336,    4.949,    0.000
NSFNET,    CF,   0.700, 10000.000,  400.000,  0.5,    1.000,    4.460,    0.000,    0.000,   14.448,    3.211,   55.701, 63580.000,    0.253,    0.568,    0.055,    0.000,   26.973,   62.368,    3.251,    0.000
NSFNET,    CF,   0.800, 10000.000,  400.000,  0.5,    1.000,    0.000,    0.000,    0.000,    0.000,    3.096,   57.742, 89080.000,    0.294,    0.721,    0.000,    0.000,   13.752,   33.765,    0.000,    0.000
NSFNET,    CF,   0.900, 10000.000,  400.000,  0.5,    1.000,    0.000,    0.000,    0.000,    0.000,    2.778,   52.876, 90540.000,    0.336,    0.842,    0.000,    0.000,   17.389,   43.626,    0.000,    0.000
NSFNET,    CF,   1.000, 10000.000,  400.000,  0.5,    1.000,    0.000,    0.000,    0.000,    0.000,    2.147,   38.493, 86630.000,    0.403,    1.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
