topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,62,0.45,2.0625,18.642857142857142,55,45,28,39
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,62,0.33,4.25,16.85,67,33,40,27
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,37,0.42,2.625,15.951219512195122,58,42,41,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,37,0.55,0.875,16.428571428571427,45,55,28,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,37,0.5,2.5,17.6,50,50,35,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,35,0.51,1.6875,14.461538461538462,49,51,26,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,35,0.51,1.0,21.82608695652174,49,51,23,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,35,0.53,0.4375,16.181818181818183,47,53,22,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,9,0.49,4.5625,16.705882352941178,51,49,34,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,9,0.44,1.0,19.314285714285713,56,44,35,38
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,9,0.49,4.4375,16.823529411764707,51,49,34,39
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,65,0.53,3.5625,19.655172413793103,47,53,29,36
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,65,0.54,0.6875,16.666666666666668,46,54,18,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,65,0.52,4.8125,19.29032258064516,48,52,31,34
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,26,0.48,1.625,19.2,52,48,25,42
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,26,0.54,0.6875,23.473684210526315,46,54,19,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,26,0.55,2.0625,18.869565217391305,45,55,23,44
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,34,0.45,2.3125,17.12,55,45,25,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,34,0.45,0.6875,19.666666666666668,55,45,24,40
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,34,0.47,1.625,17.428571428571427,53,47,21,43
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,73,0.49,2.25,15.2,51,49,30,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,73,0.49,0.4375,16.17391304347826,51,49,23,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,73,0.52,1.375,16.0,48,52,26,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,45,0.46,2.125,12.941176470588236,54,46,34,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,45,0.52,0.5,17.52,48,52,25,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,45,0.48,2.25,13.612903225806452,52,48,31,40
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,90,0.39,1.8125,15.257142857142858,61,39,35,31
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,90,0.45,0.3125,15.166666666666666,55,45,24,42
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,90,0.36,2.625,15.314285714285715,64,36,35,31
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,62,0.39,3.25,15.212121212121213,61,39,33,34
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,62,0.5,2.0625,17.28,50,50,25,42
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,62,0.4,2.3125,15.428571428571429,60,40,28,39
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,37,0.52,2.1875,17.885714285714286,48,52,35,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,37,0.56,1.125,19.724137931034484,44,56,29,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,37,0.52,2.4375,18.176470588235293,48,52,34,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,35,0.47,0.875,13.36,53,47,25,42
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,35,0.58,0.6875,18.666666666666668,42,58,21,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,35,0.52,0.4375,14.9,48,52,20,47
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,9,0.47,2.9375,14.0,53,47,32,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,9,0.49,0.75,16.838709677419356,51,49,31,42
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,9,0.47,2.8125,14.1875,53,47,32,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,65,0.52,2.875,16.846153846153847,48,52,26,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,65,0.58,0.625,16.933333333333334,42,58,15,50
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,65,0.53,3.25,18.37037037037037,47,53,27,38
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,26,0.5,1.375,15.52,50,50,25,42
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,26,0.52,0.625,24.5,48,52,20,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,26,0.5,0.875,16.24,50,50,25,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,34,0.58,1.625,16.210526315789473,42,58,19,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,34,0.51,0.625,19.61904761904762,49,51,21,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,34,0.5,1.8125,16.695652173913043,50,50,23,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,73,0.49,1.625,17.846153846153847,51,49,26,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,73,0.55,0.625,18.63157894736842,45,55,19,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,73,0.52,1.375,14.16,48,52,25,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,45,0.4,3.1875,14.222222222222221,60,40,36,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,45,0.51,0.625,21.142857142857142,49,51,28,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,45,0.4,3.125,14.432432432432432,60,40,37,34
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,90,0.4,2.6875,13.647058823529411,60,40,34,32
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,90,0.49,0.8125,17.0,51,49,22,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,90,0.39,2.5,14.571428571428571,61,39,35,31
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,62,0.43,2.125,13.866666666666667,57,43,30,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,62,0.52,2.1875,16.0,48,52,24,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,62,0.42,2.1875,14.193548387096774,58,42,31,36
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,37,0.47,3.25,17.22222222222222,53,47,36,40
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,37,0.54,1.0,19.612903225806452,46,54,31,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,37,0.54,2.4375,21.357142857142858,46,54,28,48
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,35,0.57,0.625,13.090909090909092,43,57,22,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,35,0.57,0.6875,19.904761904761905,43,57,21,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,35,0.57,0.625,14.181818181818182,43,57,22,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,9,0.49,2.5625,13.777777777777779,51,49,27,46
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,9,0.53,0.5625,16.64,47,53,25,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,9,0.52,2.875,15.071428571428571,48,52,28,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,65,0.56,2.5625,16.857142857142858,44,56,21,44
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,65,0.56,0.3125,16.470588235294116,44,56,17,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,65,0.55,3.25,19.09090909090909,45,55,22,43
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,26,0.52,1.25,14.818181818181818,48,52,22,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,26,0.53,0.625,24.0,47,53,21,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,26,0.47,1.375,14.88888888888889,53,47,27,40
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,34,0.46,1.75,15.52,54,46,25,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,34,0.51,0.4375,19.73913043478261,49,51,23,41
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,34,0.48,1.125,15.3,52,48,20,44
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,73,0.59,1.0625,16.555555555555557,41,59,18,49
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,73,0.58,0.8125,19.666666666666668,42,58,18,49
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,73,0.56,1.25,16.095238095238095,44,56,21,46
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,45,0.47,3.3125,14.11111111111111,53,47,36,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,45,0.54,0.625,18.333333333333332,46,54,24,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,45,0.47,3.3125,14.277777777777779,53,47,36,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,90,0.4,2.5,13.93939393939394,60,40,33,33
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,90,0.51,0.6875,17.333333333333332,49,51,21,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,90,0.4,2.5625,14.06060606060606,60,40,33,33
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,62,0.44,2.9375,14.9375,56,44,32,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,62,0.58,1.5625,17.583333333333332,42,58,24,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,62,0.44,2.8125,15.3125,56,44,32,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,37,0.51,2.5625,18.193548387096776,49,51,31,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,37,0.61,1.5,21.46153846153846,39,61,26,50
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,37,0.52,2.5625,20.20689655172414,48,52,29,47
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,35,0.59,0.3125,13.882352941176471,41,59,17,50
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,35,0.62,0.5625,20.545454545454547,38,62,22,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,35,0.59,0.25,16.11764705882353,41,59,17,50
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,9,0.42,3.9375,14.578947368421053,58,42,38,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,9,0.56,0.875,16.14814814814815,44,56,27,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,9,0.42,3.9375,14.578947368421053,58,42,38,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,65,0.59,2.125,16.210526315789473,41,59,19,46
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,65,0.63,0.4375,15.714285714285714,37,63,14,51
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,65,0.6,3.875,17.571428571428573,40,60,28,37
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,26,0.56,1.0625,15.7,44,56,20,47
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,26,0.56,0.5,19.7,44,56,20,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,26,0.48,1.3125,16.75,52,48,24,43
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,34,0.48,1.8125,15.92,52,48,25,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,34,0.53,0.5625,14.476190476190476,47,53,21,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,34,0.49,1.125,16.4,51,49,20,44
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,73,0.63,0.9375,15.6,37,63,15,52
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,73,0.61,0.9375,21.41176470588235,39,61,17,50
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,73,0.63,0.9375,15.866666666666667,37,63,15,52
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,45,0.45,2.9375,13.333333333333334,55,45,36,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,45,0.55,0.3125,18.16,45,55,25,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,45,0.45,2.9375,13.333333333333334,55,45,36,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,90,0.43,2.0625,13.612903225806452,57,43,31,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,90,0.54,0.625,15.818181818181818,46,54,22,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,90,0.43,2.125,14.064516129032258,57,43,31,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,9.0,62,0.53,2.5625,15.703703703703704,47,53,27,40
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,9.0,62,0.53,1.625,18.956521739130434,47,53,23,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,9.0,62,0.54,2.625,17.23076923076923,46,54,26,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,37,0.57,2.1875,18.88888888888889,43,57,27,49
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,37,0.63,1.0625,21.916666666666668,37,63,24,52
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,37,0.57,2.1875,19.48148148148148,43,57,27,49
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,35,0.62,0.625,16.266666666666666,38,62,15,52
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,35,0.6,0.9375,22.0,40,60,17,50
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,35,0.62,0.4375,18.933333333333334,38,62,15,52
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,9,0.54,3.0625,15.0,46,54,28,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,9,0.56,0.5,19.076923076923077,44,56,26,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,9,0.54,3.0625,15.0,46,54,28,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,65,0.57,2.0625,15.2,43,57,20,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,65,0.61,0.1875,18.666666666666668,39,61,15,50
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,65,0.61,4.25,18.571428571428573,39,61,28,37
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,26,0.54,1.8125,15.619047619047619,46,54,21,46
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,26,0.57,0.5625,20.4,43,57,20,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,26,0.52,1.1875,16.08695652173913,48,52,23,44
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,34,0.44,2.0,13.875,56,44,32,32
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,34,0.55,0.5625,16.666666666666668,45,55,21,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,34,0.44,2.0,14.5,56,44,32,32
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,73,0.65,0.9375,16.285714285714285,35,65,14,53
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,73,0.59,0.4375,22.818181818181817,41,59,22,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,73,0.65,0.9375,16.714285714285715,35,65,14,53
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,45,0.49,3.0625,14.235294117647058,51,49,34,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,45,0.52,0.375,17.75,48,52,24,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,45,0.49,3.0625,14.235294117647058,51,49,34,37
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,90,0.48,1.6875,14.285714285714286,52,48,28,38
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,90,0.58,0.3125,15.2,42,58,20,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,90,0.51,1.6875,15.11111111111111,49,51,27,39
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,10.0,62,0.55,1.5,15.047619047619047,45,55,21,46
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,10.0,62,0.54,1.4375,16.272727272727273,46,54,22,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,10.0,62,0.55,1.375,15.904761904761905,45,55,21,46
